time,mode,action,moved_wid,from_idx,to_idx,drag_dist,scroll_pos,inversion_count,is_error_move,order_snapshot
0.012,하남자 (10개),INIT,0,0,0,0,0,29,0,9|5|2|8|7|10|4|6|3|1
3.578,하남자 (10개),MOVE,8,3,0,3,0,26,0,
6.526,하남자 (10개),MOVE,2,3,1,2,0,24,0,
9.030,하남자 (10개),MOVE,7,4,9,5,0,19,0,
10.650,하남자 (10개),MOVE,1,8,1,7,0,12,0,
12.691,하남자 (10개),MOVE,6,7,6,1,0,11,0,
14.948,하남자 (10개),MOVE,5,4,7,3,0,12,1,
16.227,하남자 (10개),MOVE,3,8,2,6,0,6,0,
18.901,하남자 (10개),MOVE,9,4,7,3,0,3,0,
23.790,하남자 (10개),MOVE,5,8,5,3,0,0,0,
23.792,하남자 (10개),END,0,0,0,0,0,0,0,8|1|3|2|10|5|6|4|9|7
