time,mode,action,moved_wid,from_idx,to_idx,drag_dist,scroll_pos,inversion_count,is_error_move,order_snapshot
0.001,중남자 (20개),INIT,0,0,0,0,0,93,0,19|9|1|14|5|3|16|10|4|6|17|20|13|12|2|11|8|18|7|15
2.490,중남자 (20개),MOVE,4,8,0,8,0,87,0,
4.598,중남자 (20개),MOVE,5,5,1,4,0,85,0,
8.409,중남자 (20개),MOVE,10,8,19,11,530.4000244140625,74,0,
11.220,중남자 (20개),MOVE,15,18,4,14,0,76,1,
13.252,중남자 (20개),MOVE,14,6,0,6,0,70,0,
15.810,중남자 (20개),MOVE,11,15,0,15,0,55,0,
18.570,중남자 (20개),MOVE,3,8,7,1,200,54,0,
20.895,중남자 (20개),MOVE,6,10,6,4,200,50,0,
24.278,중남자 (20개),MOVE,2,15,7,8,150.39999389648438,44,0,
31.493,중남자 (20개),MOVE,17,12,5,7,0,37,0,
34.140,중남자 (20개),MOVE,12,15,18,3,530.4000244140625,34,0,
37.764,중남자 (20개),MOVE,7,17,7,10,0,28,0,
41.251,중남자 (20개),MOVE,8,16,6,10,0,18,0,
44.445,중남자 (20개),MOVE,1,13,15,2,530.4000244140625,16,0,
49.509,중남자 (20개),MOVE,18,17,0,17,0,1,0,
64.883,중남자 (20개),MOVE,11,1,2,1,0,2,1,
65.385,중남자 (20개),MOVE,11,2,1,1,0,1,0,
80.191,중남자 (20개),MOVE,20,15,14,1,530.4000244140625,2,1,
80.618,중남자 (20개),MOVE,20,14,15,1,530.4000244140625,1,0,
95.708,중남자 (20개),MOVE,18,0,1,1,0,0,0,
95.710,중남자 (20개),END,0,0,0,0,0,0,0,11|18|14|4|5|19|17|8|9|7|6|2|15|3|16|20|1|13|12|10
